name,total_downloads,daily_downloads
activeadmin_quill_editor,173160,57
activeadmin-rb,3115,0
activeadmin-redactor,15470,0
activeadmin-refinerycms-authentication,5095,0
activeadmin-reform,30314,0
activeadmin-regex-input,6571,0
active_admin_relationship_filters,8401,0
activeadmin_reorderable,276365,14
active_admin_role,134705,8
active_admin_scoped_collection_actions,122679,16
activeadmin-searchable_select,306087,138
activeadmin-select2,274452,16
activeadmin_selectize,32221,5
activeadmin_select_many,26021,2
activeadmin-selleo-cms,291431,0
activeadmin-settings,150936,0
activeadmin_settings_cached,108749,3
active_admin_sidebar,185936,23
active_admin-sidekiq_stats,2821,0
activeadmin_sidekiq_stats,9867,0
activeadmin_simple_form,1242,0
active_admin_simple_import,29453,0
active_admin_simple_life,36914,0
activeadmin_simplemde,23110,5
activeadmin-simpletrail,7620,0
active-admin-skin,21648,0
activeadmin_skin_mk,2870,0
activeadmin_slides,3076,4
activeadmin_sortable,1844,1
activeadmin-sortable,435671,21
activeadmin_sortable_table,110225,47
active_admin-sortable_tree,216531,9
activeadmin-sqlpage,6312,1
active_admin-state_machine,11348,0
active_admin-subnav,14614,0
active_admin_theme,608632,201
active_admin_themely,2858,0
activeadmin-therole,3841,0
activeadmin_tinymce,43983,0
active_admin_tokeninput,13148,0
activeadmin-translate,45317,0
active_admin_trix,2487,0
activea_dmin_trix,1006,0
activeadmin-trix,2428,1
activeadmin_trumbowyg,55367,12
active_admin_usertasks,23630,0
active_admin_versioning,11844,1
active_admin_with_bootstrap_4,5786,0
active_admin-workflow,2368,0
activeadmin-xls,70014,8
active_aggregate,1917,0
active_analysis,2260,8
active_analytics,1373,3
